"ID","Q","1","2","3","4","ANS","TEXT","LINK","","","","","","","","","","","","","","","","","",""
"11","A user has two EC2 instances running in two separate regions.  The user is running an internal memory management tool,  which captures the data and sends it to CloudWatch in US East, using a CLI with the same namespace and metric.  Which of the below mentioned options is true with respect to the above statement?","(A)The setup will not work as CloudWatch cannot receive data across regions","(B)CloudWatch will receive and aggregate the data based on the namespace and metric","(C)CloudWatch will give an error since the data will conflict due to two sources","(D)CloudWatch will take the data of the server, which sends the data first","B","Amazon CloudWatch does not differentiate the source of a metric when receiving custom data. If the user is publishing a metric with the same namespace and dimensions from different sources, CloudWatch will treat them as a single metric. If the data is coming with the same timezone within a minute, CloudWatch will aggregate the data. It treats these as a single metric, allowing the user to get the statistics, such as minimum, maximum, average, and the sum of all across all servers.","https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/GetMetricAutoScalingGroup.html","","","","","","","","","","","","","","","","","",""
"12","You are deploying an application to track GPS coordinates of delivery trucks in the United States. Coordinates are transmitted from each delivery truck once every three seconds. You need to design an architecture that will enable real-time processing of these coordinates from multiple consumers. Which service should you use to implement data ingestion?
","(A)Amazon Kinesis","(B)AWS Data Pipeline","Amazon AppStream
","(D)Amazon Simple Queue Service","A","Use Amazon Kinesis Streams to collect and process large streams of data records in real time. You'll create data-processing applications, known as Amazon Kinesis Streams applications. A typical Amazon Kinesis Streams application reads data from an Amazon Kinesis stream as data records. These applications can use the Amazon Kinesis Client Library, and they can run on Amazon EC2 instances. The processed records can be sent to dashboards, used to generate alerts, dynamically change pricing and advertising strategies, or send data to a variety of other AWS services.","https://aws.amazon.com/kinesis/data-streams/","","","","","","","","","","","","","","","","","",""
"13","How are the EBS snapshots saved on Amazon S3?
","(A) Exponentially","(B)Incrementally","(C)EBS snapshots are not stored in the Amazon S3
","(D) Decrementally","B","You can back up the data on your Amazon EBS volumes to Amazon S3 by taking point-in-time snapshots.  Snapshots are incremental backups, which means that only the blocks on the device that have changed after your most recent snapshot are saved. This minimizes the time required to create the snapshot and saves on storage costs by not duplicating data. ","https://aws.amazon.com/ebs/","","","","","","","","","","","","","","","","","",""
"14","A user has setup a CloudWatch alarm on an EC2 action when the CPU utilization is above 75%. 
The alarm sends a notification to SNS on the alarm state. 
If the user wants to simulate the alarm action how can he achieve this?","(A)Run activities on the CPU such that its utilization reaches above 75%","(B)From the AWS console change the state to ‘Alarm’","(C)The user can set the alarm state to ‘Alarm’ using CLI","(D)Run the SNS action manually","C","Amazon CloudWatch alarms watch a single metric over a time period that the user specifies and performs one or more actions based on the value of the metricrelative to a given threshold over a number of time periods. The user can test an alarm by setting it to any state using the SetAlarmState API (mon-set-alarm-statecommand..  This temporary state change lasts only until the next alarm comparison occurs.","https://docs.aws.amazon.com/AmazonCloudWatch/latest/cli/cli-mon-set-alarm-state.html","","","","","","","","","","","","","","","","","",""
"15","A user has created photo editing software and hosted it on EC2.  The software accepts requests from the user about the photo format and resolution and sends a message to S3 to enhance the picture accordingly.  Which of the below mentioned AWS services will help make a scalable software with the AWS infrastructure in this scenario? ","(A)AWS Elastic Transcoder","(B)AWS Simple Queue Service"," (C)AWS Simple Notification Service 
","(D)AWS Glacier ","D","(A) non sense answer 
(B) For video and audio only                                                                 (C) No scale with SNS","https://docs.aws.amazon.com/amazonglacier/latest/dev/introduction.html","","","","","","","","","","","","","","","","","",""
"16","A user has created an EBS volume of 10 GB and attached it to a running instance. The user is trying to access EBS for first time. Which of the below mentioned options is the correct statement with respect to a first time EBS access? ","(A)The volume will be blank","(B)If the EBS is mounted it will ask the user to create a file system","(C)The volume will show a loss of the IOPS performance the first time 
"," (D)The volume will show a size of 8 GB","C","(C) New volumes are raw block devices, and you need to create a file system on them before you can mount and use them.”","https://docs.aws.amazon.com/AWSEC2/latest/WindowsGuide/EBSVolumeTypes.html","","","","","","","","","","","","","","","","","",""
"17","You have set up Individual AWS accounts for each project. You have been asked to make sure
your AWS Infrastructure costs do not exceed the budget set per project for each month.
Which of the following approaches can help ensure that you do not exceed the budget each month?","(A)Consolidate your accounts so you have a single bill for all accounts and projects","(B)Set up auto scaling with CloudWatch alarms using SNS to notify you when you are running too
many Instances in a given account","(C)Set up CloudWatch billing alerts for all AWS resources used by each project, with a notification　occurring when the amount for each resource tagged to a particular project matches the budget　allocated to the project.
","(D)Set up CloudWatch billing alerts for all AWS resources used by each account, with email　notifications when it hits 50%. 80% and 90% of its budgeted monthly spend","C","(C） is WRONG because you are accounting by resource. Management doesn't care if RDS useage exceeds budget across all projects. Management cares about the SALES project/account exceeding budget.                                                                                                                                                                                                                                                                               (D) You have set up Individual AWS accounts for each project. You have 
been asked to make sure your AWS Infrastructure costs do not exceed the 
budget set per project for each month.
","https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/monitor-charges.html","","","","","","","","","","","","","","","","","",""
"18","When creation of an EBS snapshot Is initiated but not completed the EBS volume?","(A)Cannot De detached or attached to an EC2 instance until me snapshot completes","((B)Can be used in read-only mode while me snapshot is in progress","(C)Can be used while me snapshot Is in progress
","(D)Cannot be used until the snapshot completes","C","Snapshots occur asynchronously; the point-in-time snapshot is created immediately, but the status of the snapshot is pending until the snapshot is complete (when all of the modified blocks have been transferred to Amazon S3), which can take several hours for large initial snapshots or subsequent snapshots where many blocks have changed. While it is completing, an in-progress snapshot is not affected by ongoing reads and writes to the volume.""","https://aws.amazon.com/premiumsupport/knowledge-center/ebs-snapshot-stuck/","","","","","","","","","","","","","","","","","",""
"19","A user is sending the data to CloudWatch using the CloudWatch API. The user is sending data 90 minutes in the future. What will CloudWatch do in this case?","(A)CloudWatch will accept the data","(B)(B)It is not possible to send data of the future","(C)It is not possible to send the data manually to CloudWatch","(D)The user cannot send data for more than 60 minutes in the future","A","Just drag and drop the folder using the flash tool provided by S3 
","https://docs.aws.amazon.com/AmazonCloudWatch/latest/APIReference/Welcome.html","","","","","","","","","","","","","","","","","",""
"20","A customer is running a multi-tier web application farm in a virtual private cloud (VPC) that is not connected to their corporate network. They are connecting to the VPC over the Internet to manage all of their Amazon EC2 instances running in both the public and private subnets. They have only authorized thebastion-security-group with Microsoft Remote Desktop Protocol (RDP) access to the application instance security groups, but the company wants to further limit administrative access to all of the instances in the VPC. Which of the following Bastion deployment scenarios will meet this requirement?
","Deploy a Windows Bastion host on the corporate network that has RDP access to all instances in the VPC.","(B)Deploy a Windows Bastion host with an Elastic IP address in the public subnet and
allow SSH access to the bastion from anywhere.","(C)Deploy a Windows Bastion host with an Elastic IP address in the private subnet,
","(D)Deploy a Windows Bastion host with an auto-assigned Public IP address in the
public subnet, and allow RDP access to the bastion from only the corporate public IP
addresses.","D","For D to be correct we would need Elastic IP assigned to have static public IP. With auto assign public IP will change each time instance is rebooted. So DNS name will be the only way how to connect to bastion host.","https://aws.amazon.com/blogs/security/controlling-network-access-to-ec2-instances-using-a-bastion-server/","","","","","","","","","","","","","","","","","",""
"21","You have been tasked with creating a VPC network topology for your company. The VPC network must support both Internet-facing applications and internally-facing applications accessed only over VPN. Both Internet-facing and internally-facing applications must be able to leverage at least three AZs for high availability. 
At a minimum, how many subnets must you create within your VPC to accomodate these requirements?
","(A)2","(B)3","(C)4","(D)6","D","The PUB (Public) and the PRV (Private) facing applications cannot coexist on the same subnet. That would be against all of the architecture's and security rules.  Also the scenario says ""Both Internet-facing and internally-facing applications must be able to leverage at LEAST THREE Availability Zones for high availability""  which means the PUB application with it's subnet requirement (one subnet per AZ) must have footprint into all THREE AZs.  That is the same for the PRV application. So the math is 3 subnets for the PUB application (1 subnet per AZ) and 3 subnets for the PRV application = 6 subnets total","https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Scenario2.html","","","","","","","","","","","","","","","","","",""
"22","Can I delete a snapshot of the root device of an EBS volume used by a registered AMI?

","(A) Only via API","(B)Only via Console","(C)Yes
","(D)No","D","we can’t delete a snapshot of the root device of an EBS volume used by a registered AMI. You must first deregister the AMI before you can delete the snapshot.","https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/deregister-ami.html","","","","","","","","","","","","","","","","","",""
"23","A user has created a VPC with CIDR 20.0.0.0/24. 
The user has created a public subnet with CIDR 20.0.0.0/25. 
The user is trying to create the private subnet with CIDR 20.0.0.128/25.
Which of the below mentioned statements is true in this scenario? ","(A)This statement is wrong as AWS does not allow CIDR 20.0.0.0/25","(B)It will allow the user to create a private subnet with CIDR as 20.0.0.128/25","(C)It will not allow the user to create a private subnet due to a wrong CIDR range ","(D)It will not allow the user to create the private subnet due to a CIDR overlap ","B","When the user creates a subnet in VPC, he specifies the CIDR block for the subnet. The CIDR block of a subnet can be the same as the CIDR block for the VPC(for a single subnet in the VPC., or a subset (to enable multiple subnets.. If the user creates more than one subnet in a VPC, the CIDR blocks of the subnets mustnot overlap. Thus, in this case the user has created a VPC with the CIDR block 20.0.0.0/24, which supports 256 IP addresses (20.0.0.0 to 20.0.0.255.. The usercan break this CIDR block into two subnets, each supporting 128 IP addresses. One subnet uses the CIDR block 20.0.0.0/25 (for addresses 20.0.0.0 - 20.0.0.127.and the other uses the CIDR block 20.0.0.128/25 (for addresses 20.0.0.128 - 20.0.0.255","https://docs.aws.amazon.com/vpc/latest/peering/peering-configurations-full-access.html","","","","","","","","","","","","","","","","","",""
"24","You are currently hosting multiple applications in a VPC and have logged numerous port scans coming in from a specific IP address block. Your security team has requested that all access from the offending IP address block be denied tor the next 24 hours. Which of the following is the best method to quickly and temporarily deny access from the specified IP address block?","(A)Create an AD policy to modify Windows Firewall settings on all hosts in the VPC to deny access from the IP address block","(B)Modify the Network ACLs associated with all public subnets in the VPC to deny access from
the IP address block","(C)Add a rule to all of the VPC 5 Security Groups to deny access from the IP address block","(D)Modify the Windows Firewall settings on all Amazon Machine Images (AMIs) that
your organization uses in that VPC to deny access from the IP address block","C","Answer is (B) ACL can have deny statements.
Security groups only have allow statements, no deny so C is wrong.","https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html","","","","","","","","","","","","","","","","","",""
"25","An organization has configured a VPC with an Internet Gateway (IGW). pairs of public and private subnets (each with one subnet per Availability Zone), and an Elastic Load Balancer (ELB) configured to use the public subnets The application s web tier leverages the ELB. Auto Scaling and a mum-AZ RDS database instance The organization would like to eliminate any potential single points ft failure in this design.What step should you take to achieve this organization's objective?","(A)Nothing, there are no single points of failure in this architecture.","(B)Create and attach a second IGW to provide redundant internet connectivity.","(C)Create and configure a second Elastic Load Balancer to provide a redundant load balancer.
","(D)Create a second multi-AZ RDS instance in another Availability Zone and configurereplication
to provide a redundant database.","C","ELB is designed to be HA across Availability Zones. You need multiple ELB if you want HA across regions.
“AWS Load Balancer – Cross Network
Many times it happens that after setting up your ELB, you experience significant drops in your performance. The best way to handle this situation is to start with identifying whether your ELB is single AZ or multiple AZ, as single AZ ELB is also considered as one of the Single Points of Failures on AWS Cloud. Once you identify your ELB, it is necessary to make sure ELB loads are kept cross regions.”","https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-register-lbs-with-asg.html","","","","","","","","","","","","","","","","","",""
"26","Your entire AWS infrastructure lives inside of one Amazon VPC You have an Infrastructure
monitoring application running on an Amazon instance in Availability Zone (AZ) A of the region,
and another application instance running in AZ B. The monitoring application needs to make use
of ICMP ping to confirm network reachability of the instance hosting the application.
Can you configure the security groups for these instances to only allow the ICMP ping to pass
from the monitoringinstance to the application instance and nothing else"" If so how?","(A)No Two instances in two different AZ's can't talk directly to each other via ICMP ping as that protocol is not allowed across subnet (iebroadcast) boundaries","(B)Yes Both the monitoring instance and the application instance have to be a part of the
same security group, and that security group needs to allow inbound ICMP","(C)Yes, The security group for the monitoring instance needs to allow outbound ICMP and
the application instance's security group needs to allow Inbound ICMP
","(D)Yes, Both the monitoring instance's security group and the application instance's security
group need to allow both inbound and outbound ICMP ping packets since ICMP is not a
connection-oriented protocol","D","(A) is Incorrect; route tables enable communication between subnets / broadcast domains

(B) is Incorrect; does not need to be single SG (see below,two EC2s, two SGs)

(D)is Incorrect; as already discussed, SGs are stateful, so you do not need to create both Inbound and Outbound rules for same traffic type (this is what is needed with NACLs)","https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/security-group-rules-reference.html","","","","","","","","","","","","","","","","","",""
"27","A user is trying to understand AWS SNS. To which of the below mentioned end points is SNS unable to send a notification?","(A)Email JSON","(B)HTTP","(C)AWS SQS
","(D)AWS SES","D","•“HTTP”, “HTTPS” – Subscribers specify a URL as part of the subscription registration; notifications will be delivered through an HTTP POST to the specified URL.

•”Email”, “Email-JSON” – Messages are sent to registered addresses as email. Email-JSON sends notifications as a JSON object, while Email sends text-based email.

•“SQS” – Users can specify an SQS queue as the endpoint; Amazon SNS will enqueue a notification message to the specified queue (which subscribers can then process using SQS APIs such as ReceiveMessage, DeleteMessage, etc.)","https://aws.amazon.com/sns/","","","","","","","","","","","","","","","","","",""
"28","An organization wants to move to Cloud. They are looking for a secure encrypted database
storage option. Which of the below mentioned AWS functionalities helps them to achieve this?","(A)AWS MFA with EBS","(B)AWS EBS encryption","(C)Multi-tier encryption with Redshift
","(D)AWS S3 server side storage","B","create a folder in s3 bucket you won’t have permissions options.","https://www.google.com/search?client=ubuntu&channel=fs&q=AWS+EBS+encryption&ie=utf-8&oe=utf-8","","","","","","","","","","","","","","","","","",""
"29","You have decided to change the Instance type for instances running In your application tier that
are using Auto Scaling.
In which area below would you change the instance type definition?","(A)Auto Scaling launch configuration","(B)Auto Scaling group","(C)Auto Scaling policy
 ","(D)Auto Scaling tags","B","You can use this new functionality in a couple of different ways. You can move instances from one Auto Scaling Group to another to effect an architectural change or update. You can experiment with a mix of different EC2 instance types, adding and removing instances in order to find the best fit for your application.","https://docs.aws.amazon.com/autoscaling/ec2/userguide/GettingStartedTutorial.html","","","","","","","","","","","","","","","","","",""
"30","You are attempting to connect to an instance in Amazon VPC without success. You have already
verified that the VPC has an Internet Gateway (IGW) the instance has an associated Elastic IP
(EIP) and correct security group rules are in place.
Which VPC component should you evaluate next?","(A)The configuration of a MAT instance","(B)The configuration of the Routing Table","(C)The configuration of the internet Gateway (IGW)
","(D)The configuration of SRC'DST checking","C","An internet gateway is a horizontally scaled, redundant, and highly available VPC component that allows communication between instances in your VPC and the internet. It therefore imposes no availability risks or bandwidth constraints on your network traffic.","https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Route_Tables.html","","","","","","","","","","","","","","","","","",""
"31","You have been asked to automate many routine systems administrator backup and recovery activities Your current plan is to leverage AWS-managed solutions as much as possible and automate the rest with the AWS CU and scripts. Which task would be best accomplished with a script?","(A)Creating daily EBS snapshots with a monthly rotation of snapshots","(B)Creating daily ROS snapshots with a monthly rotation of snapshots","(C)Automatically detect and stop unused or underutilized EC2 instances
","(D)Automatically add Auto Scaled EC2 instances to an Amazon Elastic Load Balancer","C","(B) is taken care by RDS and (C) & (D) is by Autoscaling","https://aws.amazon.com/about-aws/whats-new/2013/01/08/use-amazon-cloudwatch-to-detect-and-shut-down-unused-amazon-ec2-instances/","","","","","","","","","","","","","","","","","",""
"32","Your team Is excited about theuse of AWS because now they have access to programmable Infrastructure"" You have been asked to manage your AWS infrastructure In a manner similar to the way you might manage application code You want to be able to deploy exact copies of different versions of your infrastructure, stage changes into different environments, revert back to previous versions, and identify what versions are running at any particular time (development test QA. production). Which approach addresses this requirement?","(A)Use cost allocation reports and AWS Opsworks to deploy and manage your infrastructure.","(B)Use AWS CloudWatch metrics and alerts along with resource tagging to deploy and manage
your infrastructure.","(C)Use AWS Beanstalk and a version control system like GIT to deploy and manage your infrastructure.
","(D)Use AWS CloudFormation and a version control system like GIT to deploy and manage your
infrastructure.","D","(A) is wrong, Chef can go fetch versions from Github or Subversion, and is a configuration management tool
(B) is wrong , use CloudWatch to track resource allocations via high/low watermarks and alarms
(C) is wrong, Elastic Beanstalk runs a single version of your application.                                                                                    (D) Cloud Formation for multiple infrastructure versions.","https://aws.amazon.com/cloudformation/","","","","","","","","","","","","","","","","","",""
"33","An organization has created 50 IAM users. The organization has introduced a new policy which
will change the access of an IAM user. How can the organization implement this effectively so that
there is no need to apply the policy at the individual user level?","(A)Use the IAM groups and add users as per their role to different groups and apply policy to group","(B)The user can create a policy and apply it to multiple users in a single go with the AWS CLI","(C)Add each user to the IAM role as per their organization role to achieve effective policy setup
","(D)Use the IAM role and implement access at the role level","A","Use the IAM groups and add users as per their role to different groups and apply policy to group

An IAM group is a collection of IAM users. You can use groups to specify permissions for a collection of users, which can make those permissions easier to manage for those users.","https://docs.aws.amazon.com/IAM/latest/UserGuide/id_groups.html","","","","","","","","","","","","","","","","","",""
"34","A user is planning to use AWS Cloud formation for his automatic deployment requirements. Which of the below mentioned components are required as a part of the template?","(A)Parameters","(B)Outputs","(C)Template version
","(D)Resources","D","A template is a JSON-formatted text file that describes your AWS infrastructure. Templates include several major sections. The Resources section is the only section that is required.","https://aws.amazon.com/cloudformation/","","","","","","","","","","","","","","","","","",""
"35","A user has setup a CloudWatch alarm on an EC2 action when the CPU utilization is above 75%. The alarm sends a notification to SNS on the alarm state. If the user wants to simulate the alarm action how can he achieve this?","(A)Run activities on the CPU such that its utilization reaches above 75%","(B)(B)From the AWS console change the state to ‘Alarm’","(C)The user can set the alarm state to ‘Alarm’ using CLI
","(D)Run the SNS action manually","C","You can test an alarm by setting it to any state using the SetAlarmState API (mon-set-alarm-state command). This temporary state change lasts only until the next alarm comparison occurs.","https://docs.aws.amazon.com/cli/latest/reference/cloudwatch/set-alarm-state.html","","","","","","","","","","","","","","","","","",""
"36","A user is trying to save some cost on the AWS services. Which of the below mentioned options will not help him save cost?","(A)Delete the unutilized EBS volumes once the instance is terminated","(B)Delete the AutoScaling launch configuration after the instances are terminated","(C)Release the elastic IP if not required once the instance is terminated
","(D)Delete the AWS ELB after the instances are terminated","B","ACD the correct answer as the ELB cost without even using it , the EBS volume will drive cost as you reserve some store, and the EIB if it is not attached to instance will cost you as well","https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-process-shutdown.html","","","","","","","","","","","","","","","","","",""
"37","A user is trying to aggregate all the CloudWatch metric data of the last 1 week. Which of the below mentioned statistics is not available for the user as a part of data aggregation?","(A)Aggregate","(B)Sum","(C)Sample data
","(D)Average","A","CloudWatch supports Sum, Min, Max, Sample Data and Average statistics aggregation.","https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/GetSingleMetricAllDimensions.html","","","","","","","","","","","","","","","","","",""
"38","An organization is setting up programmatic billing access for their AWS account. Which of the below mentioned services is not required or enabled when the organization wants to use programmatic access?","(A)Programmatic access","(B)AWS bucket to hold the billing report","(C)AWS billing alerts
","(D)Monthly Billing report","C","when you are programming the bills to be available on particular schedule. These bills are typically in .CSV format.","https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/monitor_estimated_charges_with_cloudwatch.html","","","","","","","","","","","","","","","","","",""
"39","A user is planning to use AWS Cloudformation. Which of the below mentioned functionalities does not help him to correctly understand Cloudfromation?","(A)Cloudformation follows the DevOps model for the creation of Dev & Test","(B)AWS Cloudfromation does not charge the user for its service but only charges for the
AWS resources
created with it","(C)Cloudformation works with a wide variety of AWS services, such as EC2, EBS, VPC, IAM,S3, RDS, ELB, etc
","(D)CloudFormation provides a set of application bootstrapping scripts which enables the user
to install
Software","A","Cloudformation follows the DevOps model for the creation of Dev & Test","https://aws.amazon.com/dev-test/","","","","","","","","","","","","","","","","","",""
